ylat,xlong,p_area,p_cap_ac
45.0558,-122.8036,41713,3
46.5285,-120.2393,1634764,80
41.4954,-87.5611,54538,2
30.6544,-84.7226,1447249,74.5
41.5262,-87.6007,47202,2
41.7924,-90.034,49341,2
39.7886,-90.3541,2558414,140
41.215,-87.9178,38646,2
40.3531,-86.5014,3550573,195
33.2181,-95.4592,4630226,250
36.9209,-120.1081,208801,10
35.4663,-119.1565,57818,2.5
34.4364,-79.0897,22767,1
34.7237,-118.2938,51106,1.5
42.618,-72.2302,51003,2.5
42.5721,-70.8686,42950,3.5
46.9762,-96.4881,23123,1
34.3252,-78.7644,127412,5
33.729,-79.8248,191973,10
34.0427,-79.9179,40553,2
42.9026,-78.7154,78628,5
41.7715,-74.736,40599,2
35.5324,-77.9692,92278,5
35.2429,-79.3198,69955,5
35.5674,-77.0502,116980,5
36.4793,-78.9147,176233,5
35.5646,-78.7102,100027,5
43.9957,-75.6614,107240,5
34.3244,-78.6917,92677,5
35.0211,-78.789,112394,5
34.909,-79.8286,113274,5
36.5155,-77.6571,117341,5
41.8015,-70.7032,38276,2
36.4347,-77.5663,94362,5
34.4993,-78.6532,39772,2
41.3388,-74.2881,35091,2
39.1571,-112.3744,584816,20
44.0068,-93.4942,23117,1
34.9719,-80.6013,87053,5
34.989,-80.3843,96354,5
35.6688,-77.3839,102547,5
35.2422,-78.3876,93952,5
36.4329,-77.9704,80654,5
35.8179,-79.7718,85632,5
34.7964,-79.5398,95357,5
41.4639,-74.2496,77802,5
41.2905,-74.5357,32388,2
43.2638,-78.4007,86600,5
36.141,-77.2117,123687,5
35.231,-77.5534,107809,5
35.2601,-81.5174,109595,5
32.0798,-97.7653,142998,5
35.6304,-81.1607,96728,5
42.0667,-76.3423,83309,5
33.7821,-92.6946,65939,1
41.6734,-88.6824,41784,2
36.329,-119.3179,24055,1.5
36.0256,-90.4871,27620,1.5
29.6026,-81.5259,1526795,74.5
28.2795,-81.069,1382043,74.5
41.8435,-94.1204,14023,1
42.4622,-88.2794,46200,2
41.76,-89.8641,46764,2
41.7739,-89.8647,62815,2
40.4532,-90.6883,42173,2
39.8192,-86.4511,140175,7
39.6857,-76.7377,44248,2
